Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar
L.J. Smith,Bal,12,2,31,15.5,2.6,26,0,2,3
Seneca Wallace,Sea,13,2,29,14.5,2.2,24,0,2,3
Eric Smith,NYJ,16,1,27,27,1.7,27,0,1,1
Jake Nordin,Det,4,2,26,13,6.5,14,0,2,3
Samkon Gado,Stl,15,3,25,8.33,1.7,13,0,0,3
Alex Smith,Phi,16,3,25,8.33,1.6,11,0,2,8
Jacob Hester,SD,15,9,24,2.67,1.6,5,0,0,11
Michael Robinson,SF,15,6,24,4,1.6,8,0,1,11
Patrick Cobbs,Mia,5,3,23,7.67,4.6,10,0,1,4
John Gilmore,TB,13,3,23,7.67,1.8,9,0,0,7
Isaiah Stanback,NE,6,3,22,7.33,3.7,9,0,1,7
Wallace Wright,NYJ,16,2,21,10.5,1.3,14,0,2,3
Verron Haynes,Atl,7,3,20,6.67,2.9,10,0,1,4
Dan Kreider,Ari,14,4,20,5,1.4,8,0,0,6
Marcel Reece,Oak,2,2,20,10,10,11,0,1,4
Peyton Hillis,Den,14,4,19,4.75,1.4,6,0,0,6
Edgerrin James,Sea,7,3,19,6.33,2.7,7,0,1,3
Brandon Myers,Oak,11,4,19,4.75,1.7,6,0,0,6
Chris Ogbonnaya,Stl,2,1,19,19,9.5,19,0,1,2
Deshawn Wynn,GB,4,2,19,9.5,4.8,11,0,1,7
Ahman Green,GB,8,3,18,6,2.2,12,0,2,5
Brandon Jones,SF,8,1,18,18,2.2,18,0,1,5
Brady Quinn,Cle,10,1,18,18,1.8,18,0,1,1
Kassim Osgood,SD,16,1,17,17,1.1,17,0,1,5
Fred Taylor,NE,6,2,17,8.5,2.8,13,0,1,3
Ramses Barden,NYG,3,1,16,16,5.3,16,0,1,1
Mike Karney,Stl,14,6,16,2.67,1.1,9,0,0,9
John Owens,Sea,16,3,16,5.33,1,8,0,1,6
Mike Goodson,Car,8,2,15,7.5,1.9,13,0,1,2
Donald Penn,TB,16,1,15,15,0.9,15,0,1,1
D.J. Ware,NYG,8,3,15,5,1.9,14,0,0,4
Kyle Eckel,NO,7,2,14,7,2,8,0,1,3
Tyler Grisham,Pit,4,1,14,14,3.5,14,0,1,2
Greg Jones,Jax,13,5,14,2.8,1.1,9,0,0,10
LenDale White,Ten,13,3,14,4.67,1.1,7,0,0,5
Brandon Manumaleuna,SD,16,5,13,2.6,0.8,11,0,1,7
Jason McKie,Chi,16,5,13,2.6,0.8,8,0,1,10
Mike Bell,NO,13,4,12,3,0.9,9,0,1,4
Garrett Wolfe,Chi,8,2,12,6,1.5,12,0,0,3
BenJarvus Green-Ellis,NE,12,2,11,5.5,0.9,6,0,0,5
Joe Klopfenstein,Buf,1,1,11,11,11,11,0,1,2
Adrian Peterson,Chi,14,2,11,5.5,0.8,7,0,1,2
Stevie Johnson,Buf,5,2,10,5,2,5,0,1,3
Tony Richardson,NYJ,16,3,10,3.33,0.6,5,0,0,5
James Hardy,Buf,2,1,9,9,4.5,9,0,0,1
Anthony Hill,Hou,5,1,9,9,1.8,9,0,0,2
David Johnson,Pit,15,2,9,4.5,0.6,5,0,0,4
Jaymar Johnson,Min,6,1,9,9,1.5,9,0,0,1
Mark Jones,Ten,3,1,9,9,3,9,0,0,2
Quinten Lawrence,KC,6,1,9,9,1.5,9,0,0,2
Bear Pascoe,NYG,4,1,9,9,2.2,9,0,0,1
Kolby Smith,KC,4,2,9,4.5,2.2,5,0,0,2
Edgar Jones,Bal,16,1,8,8,0.5,8,0,1,2
Yamon Figurs,Det,3,1,7,7,2.3,7,0,1,2
Tory Humphrey,NO,1,1,7,7,7,7,0,0,1
Chris Kuper,Den,15,0,7,0,0.5,7,0,0,0
Jake O'Connell,KC,4,2,7,3.5,1.8,4,0,0,10
Terrelle Smith,Det,8,2,7,3.5,0.9,4,0,0,4
Tim Carter,Stl,2,1,6,6,3,6,0,0,5
Charly Martin,Car,7,1,6,6,0.9,6,0,0,2
Courtney Roby,NO,15,1,6,6,0.4,6,0,0,1
Deon Anderson,Dal,16,1,5,5,0.3,5,0,0,3
James Davis,Cle,2,4,5,1.25,2.5,2,0,0,5
Jordan Kent,Stl,5,1,5,5,1,5,0,1,3
Stefan Logan,Pit,16,1,5,5,0.3,5,0,0,1
John Standeford,Det,2,1,5,5,2.5,5,0,1,3
Limas Sweed,Pit,9,1,5,5,0.6,5,0,0,5
Kahlil Bell,Chi,7,1,4,4,0.6,4,0,0,3
Dan Gronkowski,Det,2,1,4,4,2,4,0,0,3
Quinn Johnson,GB,9,2,4,2,0.4,4,0,0,4
Matthew Lawrence,Bal,8,1,4,4,0.5,4,0,0,1
Clifton Smith,TB,11,2,4,2,0.4,3,0,0,5
B.J. Askew,TB,5,2,3,1.5,0.6,4,0,0,2
Cameron Morrah,Sea,3,1,3,3,1,3,0,0,1
Zach Potter,Jax,1,1,3,3,3,3,0,0,1
Colin Cloherty,Ind,1,1,2,2,2,2,0,0,1
Matthew Mulligan,NYJ,5,1,2,2,0.4,2,0,0,1
Chris Pressley,TB,7,1,2,2,0.3,2,0,0,1
Josh Freeman,TB,10,0,1,0,0.1,1,0,0,0
Donovan McNabb,Phi,14,1,1,1,0.1,1,0,0,1
Chad Simpson,Ind,14,3,1,0.33,0.1,5,0,0,4
Jeremy Zuttah,TB,16,0,1,0,0.1,1,0,0,0
Jake Allen,Cle,2,0,0,0,0,0,0,0,1
Brock Bolen,Jax,3,0,0,0,0,0,0,0,3
Kevin Boothe,NYG,16,0,0,0,0,0,0,0,1
Matt Cassel,KC,15,0,0,0,0,0,0,0,1
Tony Fiammetta,Car,10,0,0,0,0,0,0,0,3
Thomas Gafford,KC,16,0,0,0,0,0,0,0,1
Sam Giguere,Ind,1,0,0,0,0,0,0,0,2
Shonn Greene,NYJ,14,0,0,0,0,0,0,0,5
Justin Harper,Bal,2,0,0,0,0,0,0,0,1
Wayne Hunter,NYJ,16,0,0,0,0,0,0,0,1
Gartrell Johnson,NYG,10,0,0,0,0,0,0,0,1
LaMont Jordan,Den,9,0,0,0,0,0,0,0,4
Michael Matthews,NE,4,0,0,0,0,0,0,0,1
Sean Morey,Ari,13,0,0,0,0,0,0,0,1
Jamar Nesbit,NO,13,0,0,0,0,0,0,0,1
Xavier Omon,Buf,5,0,0,0,0,0,0,0,1
